observation_date,productivity,compensation
1947-01-01,44.85927,48.73978
1947-04-01,45.87875,49.14214
1947-07-01,44.47444,49.51901
1947-10-01,46.34417,49.29799
1948-01-01,46.55370,49.41416
1948-04-01,46.43080,49.29232
1948-07-01,46.48117,49.47509
1948-10-01,46.68467,50.41724
1949-01-01,47.16016,51.20213
1949-04-01,47.64572,51.35798
1949-07-01,48.78609,51.91760
1949-10-01,48.52215,51.88643
1950-01-01,50.18637,53.38821
1950-04-01,50.80289,54.13768
1950-07-01,51.90700,54.22127
1950-10-01,51.99968,54.48054
1951-01-01,52.05609,53.60923
1951-04-01,51.89692,54.27228
1951-07-01,53.04737,54.90416
1951-10-01,53.20654,55.13509
1952-01-01,53.47853,55.50770
1952-04-01,53.37175,55.77689
1952-07-01,53.10983,56.08858
1952-10-01,54.23609,57.43593
1953-01-01,54.70755,58.26757
1953-04-01,54.83851,58.73369
1953-07-01,55.07022,59.08080
1953-10-01,54.87680,59.55117
1954-01-01,54.99164,59.90961
1954-04-01,55.37445,60.07396
1954-07-01,56.37177,60.70867
1954-10-01,57.00643,61.49639
1955-01-01,58.13068,61.83925
1955-04-01,58.33014,62.43996
1955-07-01,58.54371,63.50113
1955-10-01,58.33216,63.88365
1956-01-01,57.62900,64.86973
1956-04-01,57.91308,65.68721
1956-07-01,57.90502,66.01448
1956-10-01,58.52558,66.56135
1957-01-01,59.19650,66.95805
1957-04-01,58.96077,67.05864
1957-07-01,59.79086,67.34624
1957-10-01,59.98831,67.92004
1958-01-01,59.16225,67.12665
1958-04-01,60.29456,67.27824
1958-07-01,61.42687,68.87778
1958-10-01,62.47456,69.08746
1959-01-01,62.55113,69.64567
1959-04-01,63.15758,70.11887
1959-07-01,63.24623,70.16279
1959-10-01,63.04072,70.40364
1960-01-01,64.51151,71.84733
1960-04-01,63.50815,71.87991
1960-07-01,63.88492,72.26103
1960-10-01,63.04072,72.09810
1961-01-01,63.85469,72.58972
1961-04-01,65.53301,73.63388
1961-07-01,66.64921,73.89740
1961-10-01,67.22141,74.33376
1962-01-01,68.31946,75.22491
1962-04-01,68.04747,75.45018
1962-07-01,69.17978,75.76612
1962-10-01,69.68751,76.26482
1963-01-01,69.89704,76.77911
1963-04-01,70.42693,77.02563
1963-07-01,72.15361,77.34157
1963-10-01,72.10727,78.01029
1964-01-01,72.55858,77.44499
1964-04-01,72.95549,78.18172
1964-07-01,73.70701,79.03461
1964-10-01,72.99579,79.24996
1965-01-01,74.04348,79.33497
1965-04-01,74.38398,79.35764
1965-07-01,75.89708,79.96118
1965-10-01,77.21274,80.72057
1966-01-01,78.26446,81.36803
1966-04-01,77.72248,81.92624
